徵才名稱,徵才公司,徵才日期,其他條件,徵才網址
(APP)數據分析師_台北,尊博科技股份有限公司,2021/08/24,"['Python', 'R', 'MS SQL', 'Excel', 'Tableau', 'Power BI\u200b']",www.104.com.tw/job/7bps7?jobsource=jolist_c_relevance
(總公司-資訊部)數據分析專員,總公司_長頸鹿文化事業股份有限公司,2021/08/23,"['Excel', 'PowerPoint', 'Google Analytics', 'Power BI\u200b']",www.104.com.tw/job/6vjz8?jobsource=jolist_c_relevance
03_用戶忠誠度與維繫行銷PM,台灣之星電信股份有限公司,2021/08/25,"['Excel', 'Outlook', 'PowerPoint', 'Word', 'Google Analytics']",www.104.com.tw/job/7d656?jobsource=hotjob_chr
AD30084 數據分析運用工程師,華碩電腦股份有限公司,2021/04/23,['hadoop'],www.104.com.tw/job/6x5r9?jobsource=jolist_d_relevance
AI 與金融大數據分析工程師,弘智科技有限公司,2021/08/20,"['Python', 'MS SQL', 'SAS']",www.104.com.tw/job/6l6mc?jobsource=jolist_c_relevance
AI數據分析工程師,科智企業股份有限公司,2021/08/24,"['C', 'C++', 'Java', 'Python', 'Scala']",www.104.com.tw/job/6l0xo?jobsource=jolist_c_relevance
B2B 網路行銷業務,跨際數位行銷有限公司,2021/08/23,"['Excel', 'Outlook', 'PowerPoint', 'Word']",www.104.com.tw/job/6khr8?jobsource=hotjob_chr
BI 遊戲數據分析工程師(Data Scientist) -視訊面試,慧邦科技股份有限公司,2021/08/23,"['PHP', 'MySQL', 'jQuery']",www.104.com.tw/job/6u7bu?jobsource=jolist_c_relevance
C.顧問類-銀行業風險管理與數據分析,資誠企業管理顧問股份有限公司,2021/08/24,"['Python', 'R', 'SAS', 'SPSS']",www.104.com.tw/job/6tqjf?jobsource=jolist_c_relevance
Data Analysis-數據分析產品經理,"替您錄科技股份有限公司(TGC Taiwan, Inc.)",2021/08/23,"['Google Analytics', 'Google Tag Manager']",www.104.com.tw/job/6jbr5?jobsource=jolist_d_relevance
FF-數據分析師,財團法人中衛發展中心,2021/08/26,無,www.104.com.tw/job/6th3c?jobsource=jolist_c_relevance
Google Analytics 數據分析師 (GA Analyst),圖靈數位股份有限公司,2021/08/20,"['Google Analytics', 'Google Tag Manager', 'Google Data Studio']",www.104.com.tw/job/5bab9?jobsource=jolist_c_relevance
Investment Data Assistant 投資數據分析助理 (挑戰百萬年薪),大拇哥證券投資顧問股份有限公司,2021/08/23,無,www.104.com.tw/job/6mvt3?jobsource=jolist_c_relevance
O5111 通路數據分析專員,遠傳電信股份有限公司,2021/07/13,"['Excel', 'PowerPoint', 'Tableau']",www.104.com.tw/job/76jhq?jobsource=jolist_c_relevance
RD20414 影像辨識與數據分析工程師(智慧製造),華碩電腦股份有限公司,2021/07/16,無,www.104.com.tw/job/6oyrc?jobsource=jolist_c_relevance
Senior Demand Planning and Control Analyst - D56,德商foodpanda_富胖達股份有限公司,2021/08/19,"['Excel', 'Tableau']",www.104.com.tw/job/7bwwt?jobsource=hotjob_chr
WAD 網頁設計師 -視訊面試,慧邦科技股份有限公司,2021/08/23,"['Adobe Photoshop', 'Illustrator']",www.104.com.tw/job/764sr?jobsource=hotjob_chr
【IT】數據分析工程師,台灣知識庫股份有限公司,2021/08/25,"['Linux', 'Github', 'Python', 'JavaScript']",www.104.com.tw/job/7ck9p?jobsource=jolist_c_relevance
【PropTech數位人才招募】數據科學家/數據分析師,信義房屋股份有限公司,2021/08/17,"['Python', 'R', 'Tableau', 'Power BI\u200b']",www.104.com.tw/job/76bum?jobsource=jolist_c_relevance
【內湖】空/海運CS/OP人員,台灣準時達國際物流股份有限公司,2021/08/23,['Excel'],www.104.com.tw/job/6tod0?jobsource=hotjob_chr
【學生實習】業務部-大數據分析(即日起-110.11.30),台灣經濟新報文化事業股份有限公司,2021/08/26,"['Python', 'Excel', 'Outlook', 'PowerPoint', 'Word']",www.104.com.tw/job/6lnvw?jobsource=jolist_c_relevance
【寶雅-台北總公司】行銷_數據分析師  ※適用政府安穩雇用計畫,寶雅國際股份有限公司,2021/08/25,"['Python', 'Excel', 'PowerPoint', 'Word', 'Google Data Studio', 'Power BI\u200b']",www.104.com.tw/job/6xvvs?jobsource=jolist_c_relevance
【建設】數據分析工程師,遠雄建設事業股份有限公司,2021/08/25,無,www.104.com.tw/job/6xjw0?jobsource=jolist_c_relevance
【數據分析】資深遊戲營運數據分析專員,前思資訊有限公司,2021/08/24,"['Python', 'VBA', 'R', 'Google Analytics']",www.104.com.tw/job/7b0oa?jobsource=jolist_c_relevance
【數據分析】遊戲營運專員,前思資訊有限公司,2021/08/26,"['Python', 'VBA', 'R', 'Google Analytics']",www.104.com.tw/job/7cgob?jobsource=jolist_c_relevance
【數據分析部】資深數據分析師 (儲備幹部),歐愛兒股份有限公司,2021/08/26,無,www.104.com.tw/job/77hna?jobsource=jolist_c_relevance
【日商 壽司郎】台北內湖美麗華店-兼職人員(時薪185元起) ※可視訊面試,台灣壽司郎股份有限公司,2021/08/26,無,www.104.com.tw/job/765hq?jobsource=hotjob_chr
【營運作業】營運作業數據分析人員,國泰世華商業銀行股份有限公司_人力資源部,2021/07/30,"['Excel', 'PowerPoint', 'Tableau', 'Power BI\u200b']",www.104.com.tw/job/7anrs?jobsource=jolist_c_relevance
【策略分析部】數據分析師,聯合智網股份有限公司,2021/08/15,"['Excel', 'PowerPoint', 'Tableau', 'Google Analytics']",www.104.com.tw/job/6nqcb?jobsource=jolist_d_relevance
【總經理室】數據分析暨行銷企劃儲備幹部,歐愛兒股份有限公司,2021/08/26,無,www.104.com.tw/job/7b2nl?jobsource=jolist_c_relevance
【行政】人力資源數據分析師,國泰世華商業銀行股份有限公司_人力資源部,2021/08/16,"['Python', 'R', 'MS SQL', 'MySQL', 'PL/SQL', 'Tableau']",www.104.com.tw/job/78dli?jobsource=jolist_c_relevance
【財報專員】台北市松山區 ☞ 歡迎具備數字概念，擅長數據分析，且熟練使用Excel樞紐的菁英 ☜,創為人力資源有限公司,2021/08/26,['Excel'],www.104.com.tw/job/76bo0?jobsource=jolist_c_relevance
內容數據分析師,摘星社群行銷顧問股份有限公司,2021/08/26,無,www.104.com.tw/job/78oiv?jobsource=jolist_c_relevance
區塊錬遊戲數據分析師,七元素遊戲有限公司,2021/08/23,無,www.104.com.tw/job/7d2xb?jobsource=jolist_d_relevance
品牌經營和整合行銷、數位行銷規劃、數據分析,九八九薑母鴨,2021/08/24,"['Google Analytics', 'Premiere', 'Adobe Photoshop', 'Illustrator']",www.104.com.tw/job/7clhx?jobsource=jolist_c_relevance
商品銷售專員(設計師包/飾品配件/休閒鞋襪),博客來數位科技股份有限公司,2021/08/26,"['Excel', 'Outlook', 'PowerPoint', 'Word']",www.104.com.tw/job/77gfe?jobsource=hotjob_chr
"商業數據分析師 BA/Business Analyst -數據科技(數數發中心, DDT)",國泰金控_國泰金融控股股份有限公司,2021/08/25,無,www.104.com.tw/job/6l49y?jobsource=jolist_c_relevance
在家工作電訪人員(約到拜訪獎金+高額業務成交獎金）,跨際數位行銷有限公司,2021/08/23,無,www.104.com.tw/job/6mpe5?jobsource=hotjob_chr
大數據分析實習生(長期),大數據股份有限公司,2021/08/26,"['Excel', 'PowerPoint', 'Word', 'SAS', 'SPSS']",www.104.com.tw/job/636rg?jobsource=jolist_c_relevance
客戶暨系統數據分析專員,豐卉有限公司,2021/08/24,無,www.104.com.tw/job/7d4ek?jobsource=jolist_c_relevance
我的美麗 瑪麗蓮 精品調整型內衣  數位行銷,瑪麗蓮國際實業有限公司,2021/08/19,"['Excel', 'PowerPoint', 'Word', 'Adobe Photoshop', 'Illustrator']",www.104.com.tw/job/775i6?jobsource=hotjob_chr
戰略數據分析師,新加坡商第一企劃行銷股份有限公司台灣分公司,2021/08/20,"['MS SQL', 'Excel', 'PowerPoint', 'Google Analytics', 'Power BI\u200b']",www.104.com.tw/job/7a2jf?jobsource=jolist_c_relevance
數位廣告優化師,蘿琳亞股份有限公司,2021/08/26,"['Excel', 'PowerPoint', 'Word', 'Google Analytics']",www.104.com.tw/job/78u1x?jobsource=hotjob_chr
數位行銷專員 / 廣告投放數據分析,膂盟資訊開發股份有限公司,2021/08/23,"['Excel', 'PowerPoint', 'Word', 'LibreOffice Writer', 'Calc', 'Impress', 'Math', 'Adobe Photoshop', 'Illustrator', 'ImageReady']",www.104.com.tw/job/7962t?jobsource=jolist_c_relevance
數位金融數據分析員,元富證券股份有限公司,2021/08/06,無,www.104.com.tw/job/7ciki?jobsource=jolist_c_relevance
數據分析人員(總公司),玉山綜合證券股份有限公司,2021/08/17,"['Excel', 'PowerPoint', 'Word', 'Tableau']",www.104.com.tw/job/70c5w?jobsource=jolist_d_relevance
數據分析實習生,潮網科技股份有限公司,2021/08/25,"['Python', 'R', 'MS SQL', 'SPSS']",www.104.com.tw/job/7d68g?jobsource=jolist_c_relevance
數據分析專員(數據運用課),全家便利商店股份有限公司,2021/08/18,"['Python', 'R', 'Excel', 'Outlook', 'PowerPoint', 'Word', 'Tableau', 'SPSS']",www.104.com.tw/job/71gqf?jobsource=jolist_c_relevance
數據分析專員-營運分析部,OB嚴選_橘熊科技股份有限公司,2021/08/24,"['Tableau', 'Google Data Studio']",www.104.com.tw/job/7beve?jobsource=jolist_c_relevance
數據分析專員,土耳其商精崴有限公司台灣分公司,2021/08/24,['Excel'],www.104.com.tw/job/71rrj?jobsource=jolist_c_relevance
數據分析師,勤崴國際科技股份有限公司,2021/08/06,"['Python', 'Tableau']",www.104.com.tw/job/7bep4?jobsource=jolist_c_relevance
數據師、大數據分析師(臺北市信義區),鼎漢國際工程顧問股份有限公司,2021/08/11,無,www.104.com.tw/job/7cfoj?jobsource=jolist_c_relevance
新創電商/數據分析師,美賣科技股份有限公司,2021/08/20,"['Linux', 'Python', 'MySQL', 'Google Analytics', 'Google Trend']",www.104.com.tw/job/7azmv?jobsource=jolist_d_relevance
新型態產業數據分析專案PM_208TF,萬寶華企業管理顧問股份有限公司,2021/08/20,"['Python', 'R']",www.104.com.tw/job/6igez?jobsource=jolist_c_relevance
早班工讀,上吉燒肉Yakiniku_上吉餐飲有限公司,2021/08/22,無,www.104.com.tw/job/7d156?jobsource=hotjob_chr
明基虹韻-數據分析人員,虹韻國際貿易股份有限公司,2021/08/24,"['Excel', 'Power BI\u200b']",www.104.com.tw/job/79x3h?jobsource=jolist_c_relevance
會員行為數據分析專員(和雲企劃部),和運租車股份有限公司,2021/08/20,"['Google Analytics', 'Firebase', 'Power BI\u200b']",www.104.com.tw/job/7avri?jobsource=jolist_c_relevance
社群行銷專員,植物專家-臺灣威瑪舒培有限公司,2021/08/25,"['Adobe Photoshop', 'Illustrator']",www.104.com.tw/job/7cpg7?jobsource=hotjob_chr
科服處-技術研發部資料科學組_Data Analyst 資深資料工程師(數據分析組),全球快遞_全球商務科技股份有限公司,2021/08/25,"['Java', 'Python', 'ETL', 'SPC']",www.104.com.tw/job/7d5mn?jobsource=jolist_c_relevance
統一超商數據分析師,統一超商股份有限公司,2021/08/16,無,www.104.com.tw/job/6zoti?jobsource=jolist_c_relevance
行銷數據分析實習生【明基BenQ雲端創新中心】,明基電通股份有限公司,2021/08/25,無,www.104.com.tw/job/6o2bd?jobsource=jolist_d_relevance
行銷數據分析師,PayEasy網路購物_康迅數位整合股份有限公司,2021/08/23,"['MS SQL', 'Excel', 'PowerPoint', 'Word', 'Google Analytics', 'Firebase']",www.104.com.tw/job/7bvz9?jobsource=jolist_c_relevance
行銷數據分析師【明基BenQ雲端創新中心】,明基電通股份有限公司,2021/08/25,"['HTML', 'JavaScript', 'CSS', 'Tableau', 'Google Analytics', 'Google Tag Manager']",www.104.com.tw/job/6lg8y?jobsource=jolist_c_relevance
行銷部-數據分析師,全聯福利中心_全聯實業股份有限公司,2021/08/25,無,www.104.com.tw/job/7bkfe?jobsource=jolist_c_relevance
資料庫與數據分析師 Data and Analytics Engineer(建築與人居環境部-台北),艾奕康工程顧問股份有限公司,2021/08/03,無,www.104.com.tw/job/6y5r2?jobsource=jolist_c_relevance
資料數據分析師 Data analyst,新加坡商晚安有限公司台灣分公司,2021/08/12,"['Python', 'R', 'SAS']",www.104.com.tw/job/750o4?jobsource=jolist_c_relevance
資深專案數據分析師-營運分析部,OB嚴選_橘熊科技股份有限公司,2021/08/24,"['Python', 'R', 'Tableau']",www.104.com.tw/job/703rp?jobsource=jolist_c_relevance
資深數據分析人員(數據分析部),國泰綜合證券股份有限公司,2021/08/20,無,www.104.com.tw/job/6uj8e?jobsource=jolist_c_relevance
資深會計暨數據分析管理師,春霖國際股份有限公司,2021/08/19,"['Excel', 'Outlook', 'PowerPoint', 'Word', '文中系統']",www.104.com.tw/job/7a3ng?jobsource=jolist_c_relevance
資深金融風險數據分析人員 Senior Risk Analysis,烽泰科技有限公司,2021/08/24,"['Python', 'MS SQL', 'Excel', 'Outlook', 'PowerPoint', 'Word', '中文打字50~75']",www.104.com.tw/job/74peo?jobsource=jolist_c_relevance
資訊中心 - 大數據分析師,翰成數位科技股份有限公司,2021/08/24,"['Linux', 'Python', 'R', 'MySQL']",www.104.com.tw/job/6z9c7?jobsource=jolist_d_relevance
輿情數據分析助理,影響力數據顧問股份有限公司,2021/08/24,"['Excel', 'PowerPoint', 'Word']",www.104.com.tw/job/7d4si?jobsource=jolist_c_relevance
遊戲數據分析師,傳奇網路遊戲股份有限公司,2021/08/25,"['Excel', 'PowerPoint', 'Word', '中文打字20~50', '英文打字20~50']",www.104.com.tw/job/79ypd?jobsource=jolist_c_relevance
金融商業數據分析師,中國信託資融股份有限公司,2021/08/19,"['Python', 'PL/SQL', 'Excel', 'PowerPoint', 'Word', 'SAS']",www.104.com.tw/job/7apag?jobsource=jolist_c_relevance
顧客數據分析(內湖),中嘉數位股份有限公司,2021/08/26,"['Excel', 'PowerPoint']",www.104.com.tw/job/6q0lc?jobsource=jolist_c_relevance
